ID,Firstname,Middlename,Lastname,date_of_birth,Income
129,Sam,Talmage,Goodland,1997-02-09,50000
130,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
131,Sam,Talmage,Goodland,1997-02-09,50000
132,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
133,Tom,Arthur,Whitehead,1997-02-13,65000
134,Katie,,Poole,1997-06-06,17500
135,Sam,Talmage,Goodland,1997-02-09,50000
136,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
137,Tom,Arthur,Whitehead,1997-02-13,65000
138,Katie,,Poole,1997-06-06,17500
139,Sam,Talmage,Goodland,1997-02-09,50000
140,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
141,Sam,Talmage,Goodland,1997-02-09,50000
142,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
143,Tom,Arthur,Whitehead,1997-02-13,65000
144,Katie,,Poole,1997-06-06,17500
145,Sam,Talmage,Goodland,1997-02-09,50000
146,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
147,Tom,Arthur,Whitehead,1997-02-13,65000
148,Katie,,Poole,1997-06-06,17500
149,Sam,Talmage,Goodland,1997-02-09,50000
150,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
151,Sam,Talmage,Goodland,1997-02-09,50000
152,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
153,Tom,Arthur,Whitehead,1997-02-13,65000
154,Katie,,Poole,1997-06-06,17500
155,Sam,Talmage,Goodland,1997-02-09,50000
156,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
157,Tom,Arthur,Whitehead,1997-02-13,65000
158,Katie,,Poole,1997-06-06,17500
159,Sam,Talmage,Goodland,1997-02-09,50000
160,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
161,Sam,Talmage,Goodland,1997-02-09,50000
162,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
163,Tom,Arthur,Whitehead,1997-02-13,65000
164,Katie,,Poole,1997-06-06,17500
165,Sam,Talmage,Goodland,1997-02-09,50000
166,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
167,Tom,Arthur,Whitehead,1997-02-13,65000
168,Katie,,Poole,1997-06-06,17500
169,Sam,Talmage,Goodland,1997-02-09,50000
170,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
171,Sam,Talmage,Goodland,1997-02-09,50000
172,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
173,Tom,Arthur,Whitehead,1997-02-13,65000
174,Katie,,Poole,1997-06-06,17500
175,Sam,Talmage,Goodland,1997-02-09,50000
176,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
177,Tom,Arthur,Whitehead,1997-02-13,65000
178,Katie,,Poole,1997-06-06,17500
179,Sam,Talmage,Goodland,1997-02-09,50000
180,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
181,Sam,Talmage,Goodland,1997-02-09,50000
182,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
183,Tom,Arthur,Whitehead,1997-02-13,65000
184,Katie,,Poole,1997-06-06,17500
185,Sam,Talmage,Goodland,1997-02-09,50000
186,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
187,Tom,Arthur,Whitehead,1997-02-13,65000
188,Katie,,Poole,1997-06-06,17500
189,Sam,Talmage,Goodland,1997-02-09,50000
190,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
191,Sam,Talmage,Goodland,1997-02-09,50000
192,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
193,Tom,Arthur,Whitehead,1997-02-13,65000
194,Katie,,Poole,1997-06-06,17500
195,Sam,Talmage,Goodland,1997-02-09,50000
196,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
197,Tom,Arthur,Whitehead,1997-02-13,65000
198,Katie,,Poole,1997-06-06,17500
199,Sam,Talmage,Goodland,1997-02-09,50000
200,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
201,Sam,Talmage,Goodland,1997-02-09,50000
202,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
203,Tom,Arthur,Whitehead,1997-02-13,65000
204,Katie,,Poole,1997-06-06,17500
205,Sam,Talmage,Goodland,1997-02-09,50000
206,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
207,Tom,Arthur,Whitehead,1997-02-13,65000
208,Katie,,Poole,1997-06-06,17500
209,Sam,Talmage,Goodland,1997-02-09,50000
210,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
211,Sam,Talmage,Goodland,1997-02-09,50000
212,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
213,Tom,Arthur,Whitehead,1997-02-13,65000
214,Katie,,Poole,1997-06-06,17500
215,Sam,Talmage,Goodland,1997-02-09,50000
216,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
217,Tom,Arthur,Whitehead,1997-02-13,65000
218,Katie,,Poole,1997-06-06,17500
219,Sam,Talmage,Goodland,1997-02-09,50000
220,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
221,Sam,Talmage,Goodland,1997-02-09,50000
222,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
223,Tom,Arthur,Whitehead,1997-02-13,65000
224,Katie,,Poole,1997-06-06,17500
225,Sam,Talmage,Goodland,1997-02-09,50000
226,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
227,Tom,Arthur,Whitehead,1997-02-13,65000
228,Katie,,Poole,1997-06-06,17500
229,Sam,Talmage,Goodland,1997-02-09,50000
230,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
231,Sam,Talmage,Goodland,1997-02-09,50000
232,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
233,Tom,Arthur,Whitehead,1997-02-13,65000
234,Katie,,Poole,1997-06-06,17500
235,Sam,Talmage,Goodland,1997-02-09,50000
236,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
237,Tom,Arthur,Whitehead,1997-02-13,65000
238,Katie,,Poole,1997-06-06,17500
239,Sam,Talmage,Goodland,1997-02-09,50000
240,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
241,Sam,Talmage,Goodland,1997-02-09,50000
242,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
243,Tom,Arthur,Whitehead,1997-02-13,65000
244,Katie,,Poole,1997-06-06,17500
245,Sam,Talmage,Goodland,1997-02-09,50000
246,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
247,Tom,Arthur,Whitehead,1997-02-13,65000
248,Katie,,Poole,1997-06-06,17500
249,Sam,Talmage,Goodland,1997-02-09,50000
250,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
251,Sam,Talmage,Goodland,1997-02-09,50000
252,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
253,Tom,Arthur,Whitehead,1997-02-13,65000
254,Katie,,Poole,1997-06-06,17500
255,Sam,Talmage,Goodland,1997-02-09,50000
256,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
257,Sam,Talmage,Goodland,1997-02-09,50000
258,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
259,Tom,Arthur,Whitehead,1997-02-13,65000
260,Katie,,Poole,1997-06-06,17500
261,Sam,Talmage,Goodland,1997-02-09,50000
262,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
263,Tom,Arthur,Whitehead,1997-02-13,65000
264,Katie,,Poole,1997-06-06,17500
265,Sam,Talmage,Goodland,1997-02-09,50000
266,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
267,Sam,Talmage,Goodland,1997-02-09,50000
268,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
269,Tom,Arthur,Whitehead,1997-02-13,65000
270,Katie,,Poole,1997-06-06,17500
271,Sam,Talmage,Goodland,1997-02-09,50000
272,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
273,Tom,Arthur,Whitehead,1997-02-13,65000
274,Katie,,Poole,1997-06-06,17500
275,Sam,Talmage,Goodland,1997-02-09,50000
276,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
277,Sam,Talmage,Goodland,1997-02-09,50000
278,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
279,Tom,Arthur,Whitehead,1997-02-13,65000
280,Katie,,Poole,1997-06-06,17500
281,Sam,Talmage,Goodland,1997-02-09,50000
282,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
283,Tom,Arthur,Whitehead,1997-02-13,65000
284,Katie,,Poole,1997-06-06,17500
285,Sam,Talmage,Goodland,1997-02-09,50000
286,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
287,Sam,Talmage,Goodland,1997-02-09,50000
288,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
289,Tom,Arthur,Whitehead,1997-02-13,65000
290,Katie,,Poole,1997-06-06,17500
291,Sam,Talmage,Goodland,1997-02-09,50000
292,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
293,Tom,Arthur,Whitehead,1997-02-13,65000
294,Katie,,Poole,1997-06-06,17500
295,Sam,Talmage,Goodland,1997-02-09,50000
296,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
297,Sam,Talmage,Goodland,1997-02-09,50000
298,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
299,Tom,Arthur,Whitehead,1997-02-13,65000
300,Katie,,Poole,1997-06-06,17500
301,Sam,Talmage,Goodland,1997-02-09,50000
302,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
303,Tom,Arthur,Whitehead,1997-02-13,65000
304,Katie,,Poole,1997-06-06,17500
305,Sam,Talmage,Goodland,1997-02-09,50000
306,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
307,Sam,Talmage,Goodland,1997-02-09,50000
308,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
309,Tom,Arthur,Whitehead,1997-02-13,65000
310,Katie,,Poole,1997-06-06,17500
311,Sam,Talmage,Goodland,1997-02-09,50000
312,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
313,Tom,Arthur,Whitehead,1997-02-13,65000
314,Katie,,Poole,1997-06-06,17500
315,Sam,Talmage,Goodland,1997-02-09,50000
316,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
317,Sam,Talmage,Goodland,1997-02-09,50000
318,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
319,Tom,Arthur,Whitehead,1997-02-13,65000
320,Katie,,Poole,1997-06-06,17500
321,Sam,Talmage,Goodland,1997-02-09,50000
322,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
323,Tom,Arthur,Whitehead,1997-02-13,65000
324,Katie,,Poole,1997-06-06,17500
325,Sam,Talmage,Goodland,1997-02-09,50000
326,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
327,Sam,Talmage,Goodland,1997-02-09,50000
328,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
329,Tom,Arthur,Whitehead,1997-02-13,65000
330,Katie,,Poole,1997-06-06,17500
331,Sam,Talmage,Goodland,1997-02-09,50000
332,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
333,Tom,Arthur,Whitehead,1997-02-13,65000
334,Katie,,Poole,1997-06-06,17500
335,Sam,Talmage,Goodland,1997-02-09,50000
336,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
337,Sam,Talmage,Goodland,1997-02-09,50000
338,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
339,Tom,Arthur,Whitehead,1997-02-13,65000
340,Katie,,Poole,1997-06-06,17500
341,Sam,Talmage,Goodland,1997-02-09,50000
342,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
343,Tom,Arthur,Whitehead,1997-02-13,65000
344,Katie,,Poole,1997-06-06,17500
345,Sam,Talmage,Goodland,1997-02-09,50000
346,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
347,Sam,Talmage,Goodland,1997-02-09,50000
348,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
349,Tom,Arthur,Whitehead,1997-02-13,65000
350,Katie,,Poole,1997-06-06,17500
351,Sam,Talmage,Goodland,1997-02-09,50000
352,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
353,Tom,Arthur,Whitehead,1997-02-13,65000
354,Katie,,Poole,1997-06-06,17500
355,Sam,Talmage,Goodland,1997-02-09,50000
356,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
357,Sam,Talmage,Goodland,1997-02-09,50000
358,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
359,Tom,Arthur,Whitehead,1997-02-13,65000
360,Katie,,Poole,1997-06-06,17500
361,Sam,Talmage,Goodland,1997-02-09,50000
362,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
363,Tom,Arthur,Whitehead,1997-02-13,65000
364,Katie,,Poole,1997-06-06,17500
365,Sam,Talmage,Goodland,1997-02-09,50000
366,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
367,Sam,Talmage,Goodland,1997-02-09,50000
368,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
369,Tom,Arthur,Whitehead,1997-02-13,65000
370,Katie,,Poole,1997-06-06,17500
371,Sam,Talmage,Goodland,1997-02-09,50000
372,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
373,Tom,Arthur,Whitehead,1997-02-13,65000
374,Katie,,Poole,1997-06-06,17500
375,Sam,Talmage,Goodland,1997-02-09,50000
376,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
377,Sam,Talmage,Goodland,1997-02-09,50000
378,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
379,Tom,Arthur,Whitehead,1997-02-13,65000
380,Katie,,Poole,1997-06-06,17500
381,Sam,Talmage,Goodland,1997-02-09,50000
382,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
383,Tom,Arthur,Whitehead,1997-02-13,65000
384,Katie,,Poole,1997-06-06,17500
385,Sam,Talmage,Goodland,1997-02-09,50000
386,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
387,Sam,Talmage,Goodland,1997-02-09,50000
388,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
389,Tom,Arthur,Whitehead,1997-02-13,65000
390,Katie,,Poole,1997-06-06,17500
391,Sam,Talmage,Goodland,1997-02-09,50000
392,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
393,Tom,Arthur,Whitehead,1997-02-13,65000
394,Katie,,Poole,1997-06-06,17500
395,Sam,Talmage,Goodland,1997-02-09,50000
396,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
397,Sam,Talmage,Goodland,1997-02-09,50000
398,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
399,Tom,Arthur,Whitehead,1997-02-13,65000
400,Katie,,Poole,1997-06-06,17500
401,Sam,Talmage,Goodland,1997-02-09,50000
402,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
403,Tom,Arthur,Whitehead,1997-02-13,65000
404,Katie,,Poole,1997-06-06,17500
405,Sam,Talmage,Goodland,1997-02-09,50000
406,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
407,Sam,Talmage,Goodland,1997-02-09,50000
408,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
409,Tom,Arthur,Whitehead,1997-02-13,65000
410,Katie,,Poole,1997-06-06,17500
411,Sam,Talmage,Goodland,1997-02-09,50000
412,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
413,Tom,Arthur,Whitehead,1997-02-13,65000
414,Katie,,Poole,1997-06-06,17500
415,Sam,Talmage,Goodland,1997-02-09,50000
416,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
417,Sam,Talmage,Goodland,1997-02-09,50000
418,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
419,Tom,Arthur,Whitehead,1997-02-13,65000
420,Katie,,Poole,1997-06-06,17500
421,Sam,Talmage,Goodland,1997-02-09,50000
422,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
423,Tom,Arthur,Whitehead,1997-02-13,65000
424,Katie,,Poole,1997-06-06,17500
425,Sam,Talmage,Goodland,1997-02-09,50000
426,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
427,Sam,Talmage,Goodland,1997-02-09,50000
428,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
429,Tom,Arthur,Whitehead,1997-02-13,65000
430,Katie,,Poole,1997-06-06,17500
431,Sam,Talmage,Goodland,1997-02-09,50000
432,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
433,Tom,Arthur,Whitehead,1997-02-13,65000
434,Katie,,Poole,1997-06-06,17500
435,Sam,Talmage,Goodland,1997-02-09,50000
436,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
437,Sam,Talmage,Goodland,1997-02-09,50000
438,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
439,Tom,Arthur,Whitehead,1997-02-13,65000
440,Katie,,Poole,1997-06-06,17500
441,Sam,Talmage,Goodland,1997-02-09,50000
442,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
443,Tom,Arthur,Whitehead,1997-02-13,65000
444,Katie,,Poole,1997-06-06,17500
445,Sam,Talmage,Goodland,1997-02-09,50000
446,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
447,Sam,Talmage,Goodland,1997-02-09,50000
448,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
449,Tom,Arthur,Whitehead,1997-02-13,65000
450,Katie,,Poole,1997-06-06,17500
451,Sam,Talmage,Goodland,1997-02-09,50000
452,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
453,Tom,Arthur,Whitehead,1997-02-13,65000
454,Katie,,Poole,1997-06-06,17500
455,Sam,Talmage,Goodland,1997-02-09,50000
456,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
457,Sam,Talmage,Goodland,1997-02-09,50000
458,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
459,Tom,Arthur,Whitehead,1997-02-13,65000
460,Katie,,Poole,1997-06-06,17500
461,Sam,Talmage,Goodland,1997-02-09,50000
462,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
463,Tom,Arthur,Whitehead,1997-02-13,65000
464,Katie,,Poole,1997-06-06,17500
465,Sam,Talmage,Goodland,1997-02-09,50000
466,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
467,Sam,Talmage,Goodland,1997-02-09,50000
468,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
469,Tom,Arthur,Whitehead,1997-02-13,65000
470,Katie,,Poole,1997-06-06,17500
471,Sam,Talmage,Goodland,1997-02-09,50000
472,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
473,Tom,Arthur,Whitehead,1997-02-13,65000
474,Katie,,Poole,1997-06-06,17500
475,Sam,Talmage,Goodland,1997-02-09,50000
476,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
477,Sam,Talmage,Goodland,1997-02-09,50000
478,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
479,Tom,Arthur,Whitehead,1997-02-13,65000
480,Katie,,Poole,1997-06-06,17500
481,Sam,Talmage,Goodland,1997-02-09,50000
482,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
483,Tom,Arthur,Whitehead,1997-02-13,65000
484,Katie,,Poole,1997-06-06,17500
485,Sam,Talmage,Goodland,1997-02-09,50000
486,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
487,Sam,Talmage,Goodland,1997-02-09,50000
488,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
489,Tom,Arthur,Whitehead,1997-02-13,65000
490,Katie,,Poole,1997-06-06,17500
491,Sam,Talmage,Goodland,1997-02-09,50000
492,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
493,Tom,Arthur,Whitehead,1997-02-13,65000
494,Katie,,Poole,1997-06-06,17500
495,Sam,Talmage,Goodland,1997-02-09,50000
496,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
497,Sam,Talmage,Goodland,1997-02-09,50000
498,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
499,Tom,Arthur,Whitehead,1997-02-13,65000
500,Katie,,Poole,1997-06-06,17500
501,Sam,Talmage,Goodland,1997-02-09,50000
502,Kirsty,Charlotte-Anne,Broomfield,1997-05-17,35000
503,Tom,Arthur,Whitehead,1997-02-13,65000
504,Katie,,Poole,1997-06-06,17500
505,Sam,Talmage,Goodland,1997-02-09,50000
